source_id,source_type,title,url,pinned_version,review_status,project_use,linked_record,source_artifact,artifact_sha256
REDD-2011,paper,REDD: A Public Data Set for Energy Disaggregation Research,https://zicokolter.com/publications/kolter2011redd.pdf,published-2011,reviewed,dataset provenance and low-frequency aggregate context,docs/data/REDD_INVENTORY.md,,
RTM-2020,paper,The Regression Tsetlin Machine: A Novel Approach to Interpretable Nonlinear Regression,https://doi.org/10.1098/rsta.2019.0165,published-2020,reviewed,vanilla rTM mechanism,docs/reviews/R003-regression-tsetlin-machine-mechanism-review.md,rsta.2019.0165.pdf,f5e4ee6c8bd83832b8db8c7f5339dc11af9556ae812fb990b29d324d188ea76e
RTM-IW-2020,paper,A Regression Tsetlin Machine with Integer Weighted Clauses for Compact Pattern Representation,https://arxiv.org/abs/2002.01245,arXiv:2002.01245v1,adopted,conceptual source for selected integer-weighted rTM family; not TMU source parity,docs/decisions/D008-public-rtm-workflow-and-integer-weighted-model.md,2002.01245v1.pdf,525076aa775f2d277f1a8d39ef0b322a378c7564583f733e02f85c8f2e01eb67
RTM-REFERENCE-CODE,github,cair/regression-tsetlin-machine,https://github.com/cair/regression-tsetlin-machine,f65f8a093f474bdfaa3b019450318fe960b522f5,reviewed,original vanilla rTM implementation reference,docs/reviews/R003-regression-tsetlin-machine-mechanism-review.md,,
TMU-0.8.3,github,cair/tmu,https://github.com/cair/tmu,df55ecb3c200b85489ac77fbb8d9a3bc9f7e0483,adopted,executable source for TMRegressor with weighted_clauses enabled,docs/decisions/D008-public-rtm-workflow-and-integer-weighted-model.md,,
HAN-NILM,github,wuhanstudio/nilm,https://github.com/wuhanstudio/nilm,8c5e90df34236ba0afcc4ec46ac083d829de4d51,reviewed,Han cTM NILM workflow and Pico reference,docs/reviews/R001-legacy-evidence-and-reuse-map.md,,
BASENILM-ARCH,github,pascme05/BaseNILM,https://github.com/pascme05/BaseNILM,9ff5826d031f83f84ecccc5a89f91ff59c565fe2,screened,multi-dataset and multi-model architecture contrast,references/README.md,,
SEQ2POINT-NILM-ARCH,github,MingjunZhong/seq2point-nilm,https://github.com/MingjunZhong/seq2point-nilm,b1993de85126bf6748f79dd96c056a8555216fd9,screened,flat NILM data-model-train-test workflow reference,references/README.md,,
PRUNED-NILM-ARCH,github,JackBarber98/pruned-nilm,https://github.com/JackBarber98/pruned-nilm,362743217880eb50f4c1e505d7503c7015ec6a9f,screened,flat research-prototype workflow reference,references/README.md,,
TORCH-NILM-ARCH,github,Virtsionis/torch-nilm,https://github.com/Virtsionis/torch-nilm,1f15c6a78cef0795145a47a8047112198d37b2f1,screened,benchmark-toolkit architecture contrast,references/README.md,,
